"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.04.2026","1.391,75","1.376,50","1.393,00","1.375,50","","0,67%"
"31.03.2026","1.382,50","1.400,00","1.401,00","1.380,00","","-1,13%"
"30.03.2026","1.398,25","1.385,00","1.398,50","1.374,00","","0,92%"
"27.03.2026","1.385,50","1.372,50","1.385,50","1.368,00","","1,28%"
"26.03.2026","1.368,00","1.380,00","1.385,00","1.367,00","","-0,64%"
"25.03.2026","1.376,75","1.397,45","1.398,53","1.375,00","","-1,48%"
"24.03.2026","1.397,45","1.397,05","1.397,45","1.397,05","","0,03%"
"23.03.2026","1.397,05","1.397,00","1.397,05","1.397,00","","0,40%"
"20.03.2026","1.391,50","1.400,00","1.403,38","1.390,75","","-0,25%"
"19.03.2026","1.395,00","1.401,00","1.405,00","1.393,25","","0,04%"
"18.03.2026","1.394,50","1.403,00","1.405,50","1.394,50","","-0,13%"
"17.03.2026","1.396,25","1.402,50","1.404,00","1.393,25","","-0,02%"
"16.03.2026","1.396,50","1.402,50","1.404,63","1.392,75","","-0,13%"
"13.03.2026","1.398,25","1.402,25","1.405,00","1.389,00","","0,20%"
"12.03.2026","1.395,50","1.400,00","1.403,50","1.394,25","","0,00%"
"11.03.2026","1.395,50","1.400,00","1.407,28","1.392,25","","-0,29%"
"10.03.2026","1.399,50","1.416,00","1.416,50","1.399,25","","-1,15%"
"09.03.2026","1.415,75","1.413,00","1.426,00","1.413,00","","0,02%"
"06.03.2026","1.415,50","1.410,00","1.417,50","1.405,05","","0,57%"
"05.03.2026","1.407,50","1.400,00","1.410,45","1.395,50","","0,43%"
"04.03.2026","1.401,50","1.417,00","1.417,00","1.399,00","","-0,95%"
"03.03.2026","1.415,00","1.405,50","1.415,50","1.401,50","","1,51%"
"02.03.2026","1.394,00","1.420,00","1.420,50","1.392,00","","-0,21%"
"27.02.2026","1.397,00","1.407,50","1.419,00","1.397,00","","-0,82%"
"26.02.2026","1.408,50","1.400,00","1.423,50","1.399,63","","0,79%"
"25.02.2026","1.397,50","1.379,00","1.397,50","1.375,00","","1,29%"
"24.02.2026","1.379,75","1.375,00","1.380,00","1.372,00","","0,77%"
"23.02.2026","1.369,25","1.376,00","1.376,00","1.362,00","","-0,47%"
"20.02.2026","1.375,75","1.388,00","1.393,24","1.373,00","","-1,06%"
"19.02.2026","1.390,50","1.397,50","1.400,00","1.389,00","","-0,47%"
"18.02.2026","1.397,00","1.402,00","1.406,00","1.393,50","","0,25%"
"17.02.2026","1.393,50","1.393,50","1.393,55","1.393,45","","-0,41%"
"16.02.2026","1.399,25","1.399,25","1.399,25","1.399,25","","0,00%"
"13.02.2026","1.399,25","1.401,00","1.403,00","1.391,75","","0,16%"
"12.02.2026","1.397,00","1.401,00","1.402,00","1.391,00","","-0,53%"
"11.02.2026","1.404,50","1.409,50","1.411,00","1.398,80","","0,04%"
"10.02.2026","1.404,00","1.417,00","1.418,50","1.400,50","","-0,88%"
"09.02.2026","1.416,50","1.431,50","1.434,74","1.416,50","","-1,07%"
